OTUID,Domain,Supergroup,Phylum,Class,Order,Family,Genus,Species,ASV
822e0cf150cafaa195799ec80db33f79,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Gammaproteobacteria_Incertae_Sedis,D_4__Unknown_Family,D_5__uncultured,D_6__uncultured_gamma,822e0cf150cafaa195799ec80db33f79
0010c0a3b75fa35df1a25f3afe4814d5,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Gammaproteobacteria_Incertae_Sedis,D_4__Unknown_Family,D_5__uncultured,D_6__uncultured_bacterium,0010c0a3b75fa35df1a25f3afe4814d5
26624ca021f78ef5e48e67bfe20c9308,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Gammaproteobacteria_Incertae_Sedis,D_4__Unknown_Family,D_5__uncultured,,26624ca021f78ef5e48e67bfe20c9308
6891546bf1c6a543628674d3c00fa7f3,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Gammaproteobacteria_Incertae_Sedis,D_4__Unknown_Family,D_5__uncultured,,6891546bf1c6a543628674d3c00fa7f3
69fb33907bc29593d398f782785a2dbb,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Gammaproteobacteria_Incertae_Sedis,D_4__Unknown_Family,D_5__uncultured,,69fb33907bc29593d398f782785a2dbb
4b1055e19e944df0c2347ef05a745874,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Gammaproteobacteria_Incertae_Sedis,D_4__Unknown_Family,D_5__uncultured,,4b1055e19e944df0c2347ef05a745874
974d3b97f8becb3f483d566c846a3a59,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Gammaproteobacteria_Incertae_Sedis,D_4__Unknown_Family,D_5__uncultured,,974d3b97f8becb3f483d566c846a3a59
d197f9611d1265c6f34317ff98d22299,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Gammaproteobacteria_Incertae_Sedis,D_4__Unknown_Family,D_5__uncultured,,d197f9611d1265c6f34317ff98d22299
2910505f6fc1eb12fd27b9e80c7894bf,D_0__Bacteria,D_0__Bacteria,D_1__NB1-j,D_2__NB1-j,D_3__NB1-j,D_4__NB1-j,D_5__NB1-j,D_6__uncultured_organism,2910505f6fc1eb12fd27b9e80c7894bf
7e767013be543a74ae6bf5ba358c0a1a,D_0__Bacteria,D_0__Bacteria,D_1__NB1-j,D_2__NB1-j,D_3__NB1-j,D_4__NB1-j,D_5__NB1-j,D_6__uncultured_organism,7e767013be543a74ae6bf5ba358c0a1a
8612e08cc8157c0dbe4fd0d4ee92e6f5,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Cellvibrionales,D_4__Porticoccaceae,D_5__Porticoccus,D_6__uncultured_bacterium,8612e08cc8157c0dbe4fd0d4ee92e6f5
e1dfd299f2ea476c37e05150761345fc,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Oceanospirillales,D_4__Nitrincolaceae,D_5__Neptunomonas,D_6__Neptunomonas_concharum,e1dfd299f2ea476c37e05150761345fc
53b696e04c3a5dd25af7a1f877faa597,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Oceanospirillales,D_4__Nitrincolaceae,D_5__Nitrincolaceae,D_6__uncultured_gamma,53b696e04c3a5dd25af7a1f877faa597
0dd9bb70213ff4d8c14ca8b959c13659,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Oceanospirillales,D_4__Nitrincolaceae,D_5__Amphritea,D_6__uncultured_bacterium,0dd9bb70213ff4d8c14ca8b959c13659
298b08453be7f75054061ca8f48ce443,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Oceanospirillales,D_4__Nitrincolaceae,D_5__Marinobacterium,,298b08453be7f75054061ca8f48ce443
5250e730817a2ff791098db2d2b94cbd,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Oceanospirillales,D_4__Nitrincolaceae,D_5__Marinobacterium,,5250e730817a2ff791098db2d2b94cbd
cc1ed910d13d1e69b522ef3c0f5f067a,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Oceanospirillales,D_4__Nitrincolaceae,D_5__Marinobacterium,D_6__marine_metagenome,cc1ed910d13d1e69b522ef3c0f5f067a
ffb55cc8c1488d56bcf8b2d39dffb972,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Oceanospirillales,D_4__Nitrincolaceae,D_5__Marinobacterium,D_6__uncultured_bacterium,ffb55cc8c1488d56bcf8b2d39dffb972
23738c0689167c2e76d77c493235e592,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Oceanospirillales,D_4__Nitrincolaceae,D_5__Marinobacterium,D_6__Marinobacterium_marisflavi,23738c0689167c2e76d77c493235e592
2c04c0e6c765025b5efbfe313083df6c,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Oceanospirillales,D_4__Nitrincolaceae,D_5__Marinobacterium,D_6__bacterium_WHC3-3,2c04c0e6c765025b5efbfe313083df6c
fda0c533664addbb6913d15047facdbc,D_0__Bacteria,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Oceanospirillales,D_4__Nitrincolaceae,D_5__Marinobacterium,D_6__Marinobacterium_marisflavi,fda0c533664addbb6913d15047facdbc
