"","HOT_224_25M","HOT_225_25M","HOT_226_25M","HOT_227_25M","HOT_229_25M","HOT_231_25M","HOT_232_25M","HOT_233_25M","HOT_234_25M","HOT_236_25M","HOT_237_25M","HOT_238_25M","KFe386HP","KFe387AR","KFe389R8","KFe393NT","KFe395NB","KFe416ST","KMa156HP","KMa157AR","KMa158CB","KMa159R8","KMa160SB","KMa161R2","KMa162ST","KMa163NT","KMa164NR","KMa165NB","KOc290HP","KOc291AR","KOc293R8","KOc297NT","KOc299NB","KOc321ST","KSe054HP","KSe055AR","KSe056CB","KSe057R8","KSe058SB","KSe059R2","KSe060ST","KSe061NT","KSe062NR","KSe063NB"
"RCC307__SC_5.3",0,0,0,0,0,0,0,0,0,0,0.0105230301731084,0,0,0,2.68396148732155,0,1.66911468000724,0,3.42104557376855,2.10043586661657,1.92623971991659,3.01900030197477,4.02459413958613,1.22440676408106,0,0,1.0888193736777,2.19887901393456,3.14127419406788,3.56356423343445,3.19152493607012,0.537093430004545,1.90038760569058,0.501804923844317,1.78597174405069,1.44113763168438,3.21574458012584,2.98913751443104,4.18336489850857,0,0,0,1.07978635881427,1.09306405073171
"RS9916__IX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0412388674696349,0,0,0,0,0,0,0,0.0659293711473344,0.225942502565171,0.18129712080022,0.177812784644264,0,0.122023820853724,0,0,0,0.177561803964728,0.2624302440729,0,0,0,0,0,0.238035896084263
"RS9917__VIII",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SB__HL_II",18.6249493519245,18.0091151676062,18.0773210734289,17.2323612679675,17.1416542149382,17.2360490926144,18.3867393597901,18.5623403418974,19.4022578167563,17.7324554664152,16.7374992851597,16.6799560088168,0,0,0.833579094051858,15.4223334283805,2.12164514219942,16.1873585544924,0.202035114699473,0.317942605420669,0.239582878613149,0.285723760304839,0,7.03906462175776,15.4526991997744,16.9705681292917,5.38413260597148,0.499344035267505,0,0,0,5.28882126710771,0,6.19521785041186,0,0,0,0,0,8.78124195719809,16.1689467450042,16.4834614046506,0,0
"UW105__XVI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UW106__XV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UW140__XVI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UW179A__CRD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UW179B__I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UW69__XV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UW86__II",0,0,0,0,0.153954601331301,0.0206238335972721,0.0260924895576583,0.00675933672279428,0,0.0433519133636961,0.0470322278753266,0.264109650157834,18.6171238091982,18.308544802097,17.0520595990407,0.805148172506084,15.8320207573094,0.478911027402868,18.6596092380129,18.793940302578,18.8723868017966,18.7529639061597,18.7663113190704,11.3922018996881,1.23331190361173,0.2722672706043,12.9695521470959,18.540254934914,18.6234532544649,18.580466031001,18.6414795074347,13.5988321343393,18.7752673279983,12.6330045108643,18.8827393407383,18.9650248296136,18.5121510244888,18.3566695972654,18.3316103126156,9.91738929386539,2.96055327864524,2.83916114880702,19.2115255436016,19.2475097089949
"WH7803__V",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WH7805__VI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WH8016__I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WH8020__I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WH8102__III",0,0,0,0,0.0459472731830274,0,0,0,0,0,0,0.0174764629310184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435113948046185,0.381608204650768,0.427442381700151,0,0.223888291104339,0,0,0,0.159616555976869,0.224273772194008,0.176834891040028,0,0,0,0,0
"WH8109__II",0,0,0,0,0.205555124767788,0.029342474213694,0.0362394155892232,0.0131265601217483,0,0.0402566829656972,0.0561430352607085,0.211242201587869,0,1.0179372857852,1.47537655853863,0.435517379037109,1.45759124588808,0.25238987613812,1.6151447537491,1.68567456755574,1.7229837548098,1.65416836157343,1.64935385732274,1.02652661336984,0.625623782811268,0.260809343112998,1.37508224088999,1.69236513348686,1.84350392889989,1.80277571176021,1.77997020102027,1.51976947735285,1.85977182906204,1.33757861417426,1.46390587925805,1.44649269256639,1.54890204913121,1.70221329543717,1.51766433312698,1.3846609159342,0.422227497040983,0.315734626639958,1.48738701523587,1.58078113999744
